"报告期","序号","品种代码","品种简称","持仓数量(股)","持仓市值(元)","占股票市值比(%)","占基金净值比(%)","占流通股本比例(%)","相对上期增减(%)","区间涨跌幅(%)","所属行业名称"
"2019-06-30","1","002299.SZ","圣农发展","5450000","137994000","9.84","9.22","0.49","319.23","58.6","农林牧渔"
"2019-06-30","2","603019.SH","中科曙光","3630000","127413000","9.08","8.51","0.4","120900","37.29","计算机"
"2019-06-30","3","000063.SZ","中兴通讯","3800000","123614000","8.81","8.26","0.11","","66.05","通信"
"2019-06-30","4","002458.SZ","益生股份","6230000","121547300","8.66","8.12","1.75","379.23","132.26","农林牧渔"
"2019-06-30","5","002234.SZ","民和股份","4300000","120357000","8.58","8.04","2.09","222.85","144.45","农林牧渔"
"2019-06-30","6","603986.SH","兆易创新","1200000","104040000","7.42","6.95","0.58","","39.63","电子"
"2019-06-30","7","300014.SZ","亿纬锂能","2900000","88334000","6.3","5.9","0.35","281.58","93.77","电子"
"2019-06-30","8","603609.SH","禾丰牧业","7200000","85248000","6.08","5.69","0.87","","54.91","农林牧渔"
"2019-06-30","9","300502.SZ","新易盛","3200000","78464000","5.59","5.24","2.03","220","25.4","通信"
"2019-06-30","10","300319.SZ","麦捷科技","9060000","64688400","4.61","4.32","1.42","319.44","23.53","电子"
"2019-06-30","11","002876.SZ","三利谱","2400000","63936000","4.56","4.27","3.4","421.74","8.48","电子"
"2019-06-30","12","002746.SZ","仙坛股份","4100000","63427000","4.52","4.24","1.13","327.08","72.63","农林牧渔"
"2019-06-30","13","300661.SZ","圣邦股份","600000","61062000","4.35","4.08","1.41","","48.35","电子"
"2019-06-30","14","600536.SH","中国软件","1100000","59037000","4.21","3.94","0.22","","156.71","计算机"
"2019-06-30","15","002385.SZ","大北农","6000000","31740000","2.26","2.12","0.22","","69.03","农林牧渔"
"2019-06-30","16","000066.SZ","中国长城","1500000","15420000","1.1","1.03","0.06","","116.88","计算机"
"2019-06-30","17","002074.SZ","国轩高科","810961","10631698.71","0.76","0.71","0.08","","13.41","电力设备及新能源"
"2019-06-30","18","002796.SZ","世嘉科技","180000","7214400","0.51","0.48","0.15","-47.06","74.26","机械"
"2019-06-30","19","002230.SZ","科大讯飞","200000","6648000","0.47","0.44","0.01","","34.9","计算机"
"2019-06-30","20","300394.SZ","天孚通信","200000","5524000","0.39","0.37","0.12","-28.57","15.95","通信"
"2019-06-30","21","002384.SZ","东山精密","300000","4371000","0.31","0.29","0.02","","29.05","机械"
"2019-06-30","22","603501.SH","韦尔股份","60000","3294600","0.23","0.22","0.04","","86.83","电子"
"2019-06-30","23","300602.SZ","飞荣达","100000","2588000","0.18","0.17","0.11","-71.44","16.49","电子"
"2019-06-30","24","000783.SZ","长江证券","300000","2343000","0.17","0.16","0.01","","51.65","非银行金融"
"2019-06-30","25","300322.SZ","硕贝德","150000","2325000","0.17","0.16","0.04","","62.86","通信"
"2019-06-30","26","300642.SZ","透景生命","40000","1615600","0.12","0.11","0.07","-42.86","6.68","医药"
"2019-06-30","27","002405.SZ","四维图新","100000","1610000","0.11","0.11","0.01","","71.3","计算机"
"2019-06-30","28","002709.SZ","天赐材料","50000","1210000","0.09","0.08","0.02","","11.73","基础化工"
"2019-06-30","29","600703.SH","三安光电","100000","1128000","0.08","0.08","0","","-0.27","电子"
"2019-06-30","30","300017.SZ","网宿科技","100000","1078000","0.08","0.07","0","","38","通信"
"2019-06-30","31","300590.SZ","移为通信","30000","1026000","0.07","0.07","0.03","0","39.02","通信"
"2019-06-30","32","002371.SZ","北方华创","10000","692500","0.05","0.05","0","","83.4","电子"
"2019-06-30","33","601688.SH","华泰证券","30000","669600","0.05","0.04","0","","37.78","非银行金融"
"2019-06-30","34","603659.SH","璞泰来","10000","470200","0.03","0.03","0.01","-92.31","-0.02","电子"
"2019-06-30","35","300409.SZ","道氏技术","30000","378900","0.03","0.03","0.01","-62.5","-2.56","建材"
"2019-06-30","36","603896.SH","寿仙谷","10000","372000","0.03","0.02","0.02","","41.46","医药"
"2019-06-30","37","002675.SZ","东诚药业","20000","218400","0.02","0.01","0","-33.33","39.37","医药"
"2019-06-30","38","603197.SH","保隆科技","10000","192300","0.01","0.01","0.01","","-6.92","汽车"
"2019-06-30","39","002157.SZ","正邦科技","10000","166600","0.01","0.01","0","","214.46","农林牧渔"
"2019-06-30","40","000831.SZ","五矿稀土","10000","162300","0.01","0.01","0","","93.91","有色金属"
"2019-06-30","41","300422.SZ","博世科","10000","111100","0.01","0.01","0","","12.11","电力及公用事业"
"2019-06-30","42","300012.SZ","华测检测","10000","108000","0.01","0.01","0","0","65.43","电力及公用事业"
"2019-06-30","43","002129.SZ","中环股份","10000","97600","0.01","0.01","0","","34.99","电力设备及新能源"
"2019-06-30","44","300630.SZ","普利制药","1500","86430","0.01","0.01","0","-50","96.68","医药"
"2019-06-30","45","603589.SH","口子窖","1000","64420","0","0","0","-83.33","88.42","食品饮料"
"2019-06-30","46","300653.SZ","正海生物","1000","58360","0","0","0","-95","27.52","医药"
"2019-06-30","47","300212.SZ","易华录","1200","29400","0","0","0","-99.25","42.7","计算机"
"2019-06-30","48","300496.SZ","中科创达","1000","29080","0","0","0","-66.67","31.99","计算机"
"2019-06-30","49","002142.SZ","宁波银行","1000","24240","0","0","0","0","49.45","银行"
"2019-06-30","50","300203.SZ","聚光科技","1000","23900","0","0","0","-66.67","-4.7","电力及公用事业"
"2019-06-30","51","300073.SZ","当升科技","1000","22970","0","0","0","-97.5","-16.57","基础化工"
"2019-06-30","52","300037.SZ","新宙邦","1000","20840","0","0","0","","-13.35","基础化工"
"2019-06-30","53","603660.SH","苏州科达","1000","15590","0","0","0","-96.67","31.58","计算机"
"2019-06-30","54","600521.SH","华海药业","1000","14100","0","0","0","0","27.49","医药"
"2019-06-30","55","000858.SZ","五粮液","100","11795","0","0","0","0","135.87","食品饮料"
"2019-06-30","56","000960.SZ","锡业股份","1000","11170","0","0","0","0","17.09","有色金属"
"2019-06-30","57","002658.SZ","雪迪龙","1000","8680","0","0","0","0","23.87","电力及公用事业"
"2019-06-30","58","000568.SZ","泸州老窖","100","8083","0","0","0","0","98.79","食品饮料"
"2019-06-30","59","300098.SZ","高新兴","1000","7980","0","0","0","-98.33","18.05","计算机"
"2019-06-30","60","600809.SH","山西汾酒","100","6905","0","0","0","0","97","食品饮料"
"2019-06-30","0","合计","","65575961","1403012441.71","100","93.72","","","",""
"2018-12-31","1","002299.SZ","圣农发展","1300000","21502000","8.54","7.16","0.12","0","6.78","农林牧渔"
"2018-12-31","2","002594.SZ","比亚迪","420200","21430200","8.51","7.13","0.04","","7.32","汽车"
"2018-12-31","3","300476.SZ","胜宏科技","1700000","19890000","7.9","6.62","0.22","-10.53","-24.03","电子"
"2018-12-31","4","300502.SZ","新易盛","1000000","19650000","7.8","6.54","0.78","566.67","32.86","通信"
"2018-12-31","5","002458.SZ","益生股份","1300000","18655000","7.41","6.21","0.72","0","-18","农林牧渔"
"2018-12-31","6","002192.SZ","融捷股份","850000","15504000","6.16","5.16","0.36","30.87","-24.78","建材"
"2018-12-31","7","002234.SZ","民和股份","1331900","15250255","6.05","5.08","0.7","0","-1.12","农林牧渔"
"2018-12-31","8","002876.SZ","三利谱","460000","14701600","5.84","4.89","0.84","","-28.34","电子"
"2018-12-31","9","002746.SZ","仙坛股份","960000","13132800","5.21","4.37","0.4","","20.63","农林牧渔"
"2018-12-31","10","300319.SZ","麦捷科技","2160000","12484800","4.96","4.16","0.34","","-23.65","电子"
"2018-12-31","11","002792.SZ","通宇通讯","400000","12248000","4.86","4.08","0.57","","24.93","通信"
"2018-12-31","12","300014.SZ","亿纬锂能","760000","11947200","4.74","3.98","0.09","75900","-10.68","电子"
"2018-12-31","13","002796.SZ","世嘉科技","340000","11777600","4.68","3.92","1.11","","25.83","机械"
"2018-12-31","14","300602.SZ","飞荣达","350201","11700215.41","4.65","3.89","0.56","175000.5","17.31","电子"
"2018-12-31","15","300394.SZ","天孚通信","280000","6767600","2.69","2.25","0.17","","36.55","通信"
"2018-12-31","16","002229.SZ","鸿博股份","900000","6543000","2.6","2.18","0.22","","-18.31","轻工制造"
"2018-12-31","17","603659.SH","璞泰来","130000","6162000","2.45","2.05","0.07","","-25.81","电子"
"2018-12-31","18","300212.SZ","易华录","160000","3315200","1.32","1.1","0.04","","-12.39","计算机"
"2018-12-31","19","300642.SZ","透景生命","70000","2650200","1.05","0.88","0.13","-60.74","-36.58","医药"
"2018-12-31","20","300073.SZ","当升科技","40000","1107600","0.44","0.37","0.01","","-18.7","基础化工"
"2018-12-31","21","300409.SZ","道氏技术","80000","1048800","0.42","0.35","0.03","-80.25","-40.86","建材"
"2018-12-31","22","300653.SZ","正海生物","20000","925400","0.37","0.31","0.05","1900","-31.25","医药"
"2018-12-31","23","300590.SZ","移为通信","30000","743400","0.3","0.25","0.03","","12.53","通信"
"2018-12-31","24","603660.SH","苏州科达","30000","500100","0.2","0.17","0.01","","-26.4","计算机"
"2018-12-31","25","300098.SZ","高新兴","60000","405600","0.16","0.13","0","3908.02","-15.29","计算机"
"2018-12-31","26","002446.SZ","盛路通信","30000","237300","0.09","0.08","0.01","","15.31","通信"
"2018-12-31","27","002675.SZ","东诚药业","30000","236100","0.09","0.08","0","2900","-22.77","医药"
"2018-12-31","28","600011.SH","华能国际","30000","221400","0.09","0.07","0","","16.04","电力及公用事业"
"2018-12-31","29","603589.SH","口子窖","6000","210420","0.08","0.07","0","-97.27","-42.21","食品饮料"
"2018-12-31","30","600027.SH","华电国际","30000","142500","0.06","0.05","0","","21.72","电力及公用事业"
"2018-12-31","31","300630.SZ","普利制药","3000","132180","0.05","0.04","0","","-39.31","医药"
"2018-12-31","32","600563.SH","法拉电子","3000","126420","0.05","0.04","0","200","-14.85","电子"
"2018-12-31","33","603019.SH","中科曙光","3000","107640","0.04","0.04","0","","-21.78","计算机"
"2018-12-31","34","300203.SZ","聚光科技","3000","76950","0.03","0.03","0","900","0.9","电力及公用事业"
"2018-12-31","35","300496.SZ","中科创达","3000","66300","0.03","0.02","0","","-25.01","计算机"
"2018-12-31","36","300012.SZ","华测检测","10000","65500","0.03","0.02","0","0","14.11","电力及公用事业"
"2018-12-31","37","002041.SZ","登海种业","10000","53900","0.02","0.02","0","","-20.97","农林牧渔"
"2018-12-31","38","603799.SH","华友钴业","1000","30110","0.01","0.01","0","-99.65","-56.52","有色金属"
"2018-12-31","39","002466.SZ","天齐锂业","1000","29320","0.01","0.01","0","","-40.88","有色金属"
"2018-12-31","40","300436.SZ","广生堂","1000","24250","0.01","0.01","0","-90","-8.56","医药"
"2018-12-31","41","002142.SZ","宁波银行","1000","16220","0.01","0.01","0","0","2.03","银行"
"2018-12-31","42","600549.SH","厦门钨业","1000","12080","0","0","0","-99.94","-20.42","有色金属"
"2018-12-31","43","600521.SH","华海药业","1000","11060","0","0","0","","-58.56","医药"
"2018-12-31","44","000960.SZ","锡业股份","1000","9540","0","0","0","-99.5","-20.57","有色金属"
"2018-12-31","45","300199.SZ","翰宇药业","1000","9340","0","0","0","-99.91","-34.59","医药"
"2018-12-31","46","002658.SZ","雪迪龙","1000","7100","0","0","0","0","-9.09","电力及公用事业"
"2018-12-31","47","000650.SZ","仁和药业","1000","5480","0","0","0","-99","-13.84","医药"
"2018-12-31","48","000858.SZ","五粮液","100","5088","0","0","0","0","-31.8","食品饮料"
"2018-12-31","49","000568.SZ","泸州老窖","100","4066","0","0","0","0","-31.78","食品饮料"
"2018-12-31","50","600809.SH","山西汾酒","100","3505","0","0","0","","-43.56","食品饮料"
"2018-12-31","0","合计","","15303601","251886339.41","100","83.83","","","",""
"2018-06-30","1","000408.SZ","藏格控股","2170000","32723600","9.04","8.54","0.49","54.27","-17.8","基础化工"
"2018-06-30","2","300476.SZ","胜宏科技","1900000","29260000","8.08","7.64","0.57","137.5","16.89","电子"
"2018-06-30","3","603799.SH","华友钴业","286900","27964143","7.73","7.3","0.05","224.92","21.49","有色金属"
"2018-06-30","4","600549.SH","厦门钨业","1751000","26580180","7.34","6.94","0.12","29.38","-22.59","有色金属"
"2018-06-30","5","002458.SZ","益生股份","1300000","22750000","6.28","5.94","0.73","295.14","-24.73","农林牧渔"
"2018-06-30","6","002299.SZ","圣农发展","1300000","20137000","5.56","5.26","0.12","6.56","7.57","农林牧渔"
"2018-06-30","7","600392.SH","盛和资源","1142800","18547644","5.12","4.84","0.11","0","-14.58","有色金属"
"2018-06-30","8","000831.SZ","五矿稀土","1530000","17809200","4.92","4.65","0.16","","-5.98","有色金属"
"2018-06-30","9","300409.SZ","道氏技术","405000","16244550","4.49","4.24","0.3","","-11.77","建材"
"2018-06-30","10","600711.SH","盛屯矿业","1768100","15965943","4.41","4.17","0.12","","7.28","有色金属"
"2018-06-30","11","002192.SZ","融捷股份","649500","15750375","4.35","4.11","0.27","3.1","-26.8","建材"
"2018-06-30","12","002234.SZ","民和股份","1331900","15423402","4.26","4.03","0.7","2.45","1.58","农林牧渔"
"2018-06-30","13","603609.SH","禾丰牧业","1619209","15285332.96","4.22","3.99","0.19","","7.48","农林牧渔"
"2018-06-30","14","300199.SZ","翰宇药业","1070000","15279600","4.22","3.99","0.2","","-11.14","医药"
"2018-06-30","15","603589.SH","口子窖","220000","13519000","3.73","3.53","0.04","-63.33","33.44","食品饮料"
"2018-06-30","16","002020.SZ","京新药业","966600","11386548","3.15","2.97","0.19","","4.18","医药"
"2018-06-30","17","000970.SZ","中科三环","1188600","11113410","3.07","2.9","0.11","","-34.44","电子"
"2018-06-30","18","300642.SZ","透景生命","178300","10644510","2.94","2.78","0.33","","-2.05","医药"
"2018-06-30","19","600259.SH","广晟有色","207200","6066816","1.68","1.58","0.08","","-25.48","有色金属"
"2018-06-30","20","603993.SH","洛阳钼业","700000","4403000","1.22","1.15","0.01","-74.35","-7.4","有色金属"
"2018-06-30","21","300463.SZ","迈克生物","165600","4128408","1.14","1.08","0.05","","4.54","医药"
"2018-06-30","22","000960.SZ","锡业股份","200000","2402000","0.66","0.63","0.02","","-9.02","有色金属"
"2018-06-30","23","300502.SZ","新易盛","150000","2218500","0.61","0.58","0.12","275","-48.65","通信"
"2018-06-30","24","603108.SH","润达医疗","160000","1795200","0.5","0.47","0.03","","-7.94","医药"
"2018-06-30","25","603387.SH","基蛋生物","33900","1721442","0.48","0.45","0.07","","19.18","医药"
"2018-06-30","26","300618.SZ","寒锐钴业","8800","1129392","0.31","0.29","0.01","","-12.59","有色金属"
"2018-06-30","27","000650.SZ","仁和药业","100000","636000","0.18","0.17","0.01","","24.24","医药"
"2018-06-30","28","300436.SZ","广生堂","10000","265200","0.07","0.07","0.01","","-9.45","医药"
"2018-06-30","29","000538.SZ","云南白药","1000","106960","0.03","0.03","0","0","5.08","医药"
"2018-06-30","30","002332.SZ","仙琚制药","10000","87500","0.02","0.02","0","","7.8","医药"
"2018-06-30","31","300653.SZ","正海生物","1000","67300","0.02","0.02","0","","94.87","医药"
"2018-06-30","32","002680.SZ","长生退(退市)","3000","66870","0.02","0.02","0","","57.59","医药"
"2018-06-30","33","300012.SZ","华测检测","10000","57400","0.02","0.01","0","","29.21","电力及公用事业"
